ref|word|num|dep|label|dep2|label2
Sand.001|My|1||||
Sand.001|grandma,|2||||
Sand.001|the|3||||
Sand.001|way|4||||
Sand.001|she|5||||
Sand.001|told|6||||
Sand.001|me|7||||
Sand.001|things,|8||||
Sand.001|she,|9||||
Sand.001|you|10||||
Sand.001|know.|11||||
Sand.002|Uh,|1||||
Sand.002|I,|2||||
Sand.002|I|3||||
Sand.002|know,|4||||
Sand.002|you|5||||
Sand.002|know,|6||||
Sand.002|in|7||||
Sand.002|my|8||||
Sand.002|computer|9||||
Sand.002|[points|10||||
Sand.002|at|11||||
Sand.002|her|12||||
Sand.002|head].|13||||
Sand.003|I|1||||
Sand.003|don't,|2||||
Sand.003|uhh|3||||
Sand.003|[forget],|4||||
Sand.003|and|5||||
Sand.003|then|6||||
Sand.003|what|7||||
Sand.003|grandma|8||||
Sand.003|said|9||||
Sand.003|was|10||||
Sand.003|that|11||||
Sand.003|they|12||||
Sand.003|were|13||||
Sand.003|in|14||||
Sand.003|ca[mped|15||||
Sand.003|at]|16||||
Sand.003|Sand|17||||
Sand.003|Creek|18||||
Sand.003|there,|19||||
Sand.003|all|20||||
Sand.003|camped,|21||||
Sand.003|these|22||||
Sand.003|Arapahos.|23||||
Sand.004|Teecxo',|1||||
Sand.004|hini'iit|2||||
Sand.004|tih'iinihii|3||||
Sand.004|toonoo'ooheihi3i'|4||||
Sand.004|nuh'uuno|5||||
Sand.004|beh'eihoho'.|6||||
Sand.005|'oh|1||||
Sand.005|tei'yoonoh'o'|2||||
Sand.005|noh|3||||
Sand.005|huseino',|4||||
Sand.005|hinee|5||||
Sand.005|hii3e'|6||||
Sand.005|hi'in|7||||
Sand.005|nihii,|8||||
Sand.005|Sand|9||||
Sand.005|Creek,|10||||
Sand.005|hih'ii3ooninoo.|11||||
Sand.006|He'ihP|1||||
Sand.006|nee'[ee]tootii3i'|2||||
Sand.006|bisiihi'|3||||
Sand.006|nuhu'|4||||
Sand.006|hitesiino'|5||||
Sand.006|noh|6||||
Sand.006|nuhu'|7||||
Sand.006|Arapahos.|8||||
Sand.007|Noh|1||||
Sand.007|ne'nih'iitbisiini|2||||
Sand.007|hoonootii3i'|3||||
Sand.007|bisiihi',|4||||
Sand.007|there|5||||
Sand.007|was|6||||
Sand.007|about|7||||
Sand.007|four|8||||
Sand.007|or|9||||
Sand.007|five|10||||
Sand.007|chiefs,|11||||
Sand.007|kee'in,|12||||
Sand.007|different|13||||
Sand.007|tribes,|14||||
Sand.007|chiefs.|15||||
Sand.008|Some|1||||
Sand.008|were|2||||
Sand.008|of|3||||
Sand.008|Oklahoma,|4||||
Sand.008|and|5||||
Sand.008|then|6||||
Sand.008|they|7||||
Sand.008|were,|8||||
Sand.008|southern,|9||||
Sand.008|but|10||||
Sand.008|these|11||||
Sand.008|northern|12||||
Sand.008|Arapahos,|13||||
Sand.008|too,|14||||
Sand.008|they|15||||
Sand.008|were|16||||
Sand.008|all|17||||
Sand.008|camped|18||||
Sand.008|there,|19||||
Sand.008|different,|20||||
Sand.008|you|21||||
Sand.008|know,|22||||
Sand.008|different|23||||
Sand.008|places|24||||
Sand.008|like|25||||
Sand.008|that.|26||||
Sand.009|And|1||||
Sand.009|then…|2||||
Sand.009|'iiheihoo,|3||||
Sand.009|I|4||||
Sand.009|was|5||||
Sand.009|supposed|6||||
Sand.009|to|7||||
Sand.009|say|8||||
Sand.009|it|9||||
Sand.009|in|10||||
Sand.009|Arapaho.|11||||
Sand.010|He'ih'oonootiino'|1||||
Sand.010|hinit|2||||
Sand.010|nuh'uuno|3||||
Sand.010|neeceeno'|4||||
Sand.010|nohkuuhu'|5||||
Sand.010|nuhu'|6||||
Sand.010|hitiiteebinoo.|7||||
Sand.011|Hitiiteeb,|1||||
Sand.011|that|2||||
Sand.011|means|3||||
Sand.011|your|4||||
Sand.011|tribe.|5||||
Sand.012|Nuhu'|1||||
Sand.012|wonooneihi3i',|2||||
Sand.012|wonooniii'oo3i',|3||||
Sand.012|honoh'oho',|4||||
Sand.012|wonooneihi3i',|5||||
Sand.012|nihii|6||||
Sand.012|nih'ini|7||||
Sand.012|heeneinoo'ei3i'.|8||||
Sand.013|He'ihwonihiinoo'eino'.|1||||
Sand.014|Beebei'on|1||||
Sand.014|nooxeihi'|2||||
Sand.014|nihciiciisiikohei3i',|3||||
Sand.014|tih'eeneinoo'ei3i'|4||||
Sand.014|hiit,|5||||
Sand.014|tih'iinihii|6||||
Sand.014|hookohuusiini,|7||||
Sand.014|hoseino',|8||||
Sand.014|neneenini'|9||||
Sand.014|hihi'iine'etiitooninoo.|10||||
Sand.015|Noh|1||||
Sand.015|neneenini'|2||||
Sand.015|nuhu'|3||||
Sand.015|hihnoonotiitoooninoo|4||||
Sand.015|nuhu'|5||||
Sand.015|hiinoo'eihiiho'.|6||||
Sand.016|Cese'|1||||
Sand.016|beh'eihoho'|2||||
Sand.016|noh|3||||
Sand.016|betebihoho'|4||||
Sand.016|noh|5||||
Sand.016|nuhu'|6||||
Sand.016|tei'yoonoh'o',|7||||
Sand.016|'oh|8||||
Sand.016|nuhu'|9||||
Sand.016|wonooneihi3i'|10||||
Sand.016|hiseino'|11||||
Sand.016|he'ih'entoono'.|12||||
Sand.017|Noh|1||||
Sand.017|ne'ini|2||||
Sand.017|ceeciis|3||||
Sand.017|he'ihbisiitonei'i|4||||
Sand.017|nuh'uuno|5||||
Sand.017|nonooneeheini3i.|6||||
Sand.018|Nuhu'|1||||
Sand.018|nonooneehei3i',|2||||
Sand.018|wotsiikookon|3||||
Sand.018|hih'oowoowouuyeino'.|4||||
Sand.019|Wooxutoo3i'.|1||||
Sand.020|He'ih'ini,|1||||
Sand.020|he'ihnokoo3inoo'oono'|2||||
Sand.020|heeneescoocoboo3i'|3||||
Sand.020|nuh'uuno|4||||
Sand.020|nih'eentouhuni3i.|5||||
Sand.021|'oh|1||||
Sand.021|he'ihbeexo'eihino'|2||||
Sand.021|nuhu'|3||||
Sand.021|beh'eihoho'|4||||
Sand.021|nuhu'|5||||
Sand.021|huseino'|6||||
Sand.021|noh|7||||
